10 15 100
  33   33   85   75    5   41   79   10   67    6   27   73   31   26   87 
  46   64   26   19   27   48   17   96   22   60    5   93   13   14   53 
  51   74    5   81   60   89   99   61   26   18   16   98   69    7   58 
   0   29    7   16   93   68   53   58   38   37   31   48   63   20   21 
   5   11   21   69   91   15   92   80   29   63   54   80   56   24    7 
  30   82    6   32   21   33   28   37   33   52   36   45    0    8    0 
   1    0 1571484427 28578 -786533794 32767    0    0 -786482896 32767    8    0    1    0 6487368 
   0    0    0 6487368    0 -786526274 32767 6487368    0 -786236880 32767    1    0    0    0 
   1    0 -786236880 32767    0    0 -786526435 32767    1    0   46    0 6487360    0  608 
   0   15    0 4200087    0 4210745    0 6487484    0 -786212544 32767 6480288    0 4223016    0 
